,Название автомобиля,Двигатель/л,Мощность/л.с,Коробка передач,Привод,Цвет,"Пробег, км",Руль,Стоимость/руб.
40,"Продажа Opel Vectra, 2006 год в Качканаре",1.8,140,ника,передний,седан,тсерый,09 000,360 000 
41,Машина в хорошем состояние вложений не требует собственик мотор не дымит масло не ест с ходовой всё впорядке коробка не пинает торг,1.6,105,АКПП,передний,5 дв.,ристый,25 000,410 000 
42,"Продажа Renault Duster, 2019 год в Екатеринбурге",1.6,114,ника,передний,белый,32 000,ьлевый,1 295 000 
43,"Продажа BMW 3-Series, 2007 год в Екатеринбурге",2.5,218,АКПП,одзадний,седан,тсиний,65 000,750 000 
44,"Автомобиль в идеальном состоянии, ( чистый японец, был привезён под заказ из Южной Японии). Весь в родной в краске без ржавчин, без коррозии. Реальный пробег, состояние кузова, салона и всех комплектаций соответсвует пробегу. Имеется бесключевой доступ, камеры на 360*,  салон чистый, не прокуренный. Бережная и добросовестная эксплуатация автомобиля, все Фильтра и масла менялись во время, делать нечего не нужно все ключевые узлы и агрегаты исправны. Имеется удобный подлокотник, автомобиль в России находится 1, 5 года. Зимой находится в тёплом гараже, имеется 2 комплекта ключей, Литые диски на летней резине!",0.7,ь49,атор,передний,истый,15 134,правый,650 000 
45,"Продажа Mazda Mazda6, 2018 год в Екатеринбурге",2.0,150,АКПП,передний,седан,тсерый,36 500,2 099 000 
46,"Автомобиль в хорошем состоянии, регулярно проходили ТО. Передний бампер снят, был треснут. Торг уместен при осмотре. Интересует срочная продажа.",1.7,ь80,ника,ривод4WD,ерный,75 000,ьлевый,390 000 
47,"Продажа Mazda CX-5, 2016 год в Нижнем Тагиле",2.0,150,АКПП,передний,ерный,15 000,ьлевый,2 150 000 
48,"Продажа Mitsubishi Outlander, 2003 год в Екатеринбурге",", Г",142,АКПП,ривод4WD,асный,00 000,ьлевый,575 000 
49,"Продажа Mercedes-Benz S-Class, 2016 год в Екатеринбурге",3.0,333,АКПП,ривод4WD,седан,черный,70 000,5 950 000 
50,"Продажа Volkswagen Tiguan, 2018 год в Екатеринбурге",1.4,150,обот,передний,синий,00 000,ьлевый,2 200 000 
51,"Продажа Volkswagen Polo, 2020 год в Екатеринбурге",1.6,ь90,ника,передний,седан,тбелый,36 000,950 000 
52,"Продажа Opel Corsa, 2009 год в Екатеринбурге",1.2,ь80,ника,передний,5 дв.,черный,37 000,469 000 
53,"Продажа Mitsubishi Pajero, 1994 год в Верхней Пышме",2.8,ь84,омат,ривод4WD,5 дв.,тсиний,00 000,330 000 
54,"Продажа Nissan Serena, 2015 год в Екатеринбурге",2.0,147,атор,передний,серый, по РФ,правый,1 600 000 
55,"Продажа BMW X4, 2016 год в Екатеринбурге",2.0,184,АКПП,ривод4WD,белый,46 000,ьлевый,3 149 000 
56,"Продажа BMW X7, 2020 год в Екатеринбурге",3.0,400,АКПП,ривод4WD,ерный,34 600,ьлевый,14 000 000 
57,"авто в отличном состоянии. без вложений.
новый аккумулятор. заводится в любой мороз. вебасто. хорошая комплектация. не боится бездорожья. подключаемые блокировки. один из последних полноценных внедорожников. 
рыбаки охотники успевайте! раптор, не боится царапин. низкая цена обусловлена срочностью. торг у капота.
салоны и площадки не беспакоить.",2.5,170,АКПП,ривод4WD,ерный,70 000,ьлевый,549 000 
58,"Продажа Ford F150, 2018 год в Екатеринбурге",5.0,395,АКПП,ривод4WD,белый,м4 500,ьлевый,6 150 000 
59,"Продажа BMW X6, 2009 год в Екатеринбурге",4.4,407,АКПП,ривод4WD,ерный,68 840,ьлевый,1 350 000 
60,"Продажа Mercedes-Benz GLE Coupe, 2016 год в Нижнем Тагиле",3.0,333,АКПП,ривод4WD,ерный,04 000,ьлевый,4 550 000 
61,"Продажа Volvo XC70, 2011 год в Екатеринбурге",3.0,304,АКПП,ривод4WD,ерный,98 000,ьлевый,1 450 000 
62,"Я СОБСТВЕННИК!!!С НОЯБРЯ 2019 ГОДА!!!
VIN для проверки 

KNEBA24427T453031

Продам заводную апельсинку!!!
ЧИСТОКРОВНЫЙ КОРЕЕЦ!!!
КАЧЕСТВО СБОРКИ НА ВЫСОТЕ!!!
3 хозяина с момента покупки!!!
В автомобиле ВСЕ работает!!!
Зимние шины r14 toyo G3-ice 1 сезон, состояние новых!В комплекте с новыми дисками!!!
Летние шины Yokohama ES32 195 50 15!!! 1 сезон!!!В комплекте с новыми дисками!!!Крайнее фото!!!
Клиренс на таких колёсах как у кроссовера!!!
Двигатель работает очень тихо, потому что произведён профилактический ремонт без расточки цилиндров!!!Замена колец, поршней, вкладышей, колпачков, помпы, термостата, всех уплотнений ВСЕ ОРИГИНАЛ!!!Нигде ничего не течет, не отпотевает!!!Масло не ест ни капли!!!Делалось все для себя!!!
По подвеске замена стоек вкруг MANDO, рычаги передние CTR, линки и втулки CTR!!!
Все опоры двигателя новые-оригинал!!!
Масло мкпп - SHELL!!!
Масло ГУР - PENTOSIN!!!
НОВЫЙ АККУМУЛЯТОР BOSCH!!!18.02.22
ЛАМПЫ KOITO!
НОВАЯ РАДИОАНТЕННА!
НОВЫЙ ТРОС СЦЕПЛЕНИЯ(ОРИГИНАЛ)

По кузову точно могу сказать, что крашено крыло переднее.

Комплектация: 
4 ЭЛЕКТРОСТЕКЛОПОДЪЕМНИКИ 
ЭЛЕКТРОРЕГУЛИРОВКА ЗЕРКАЛ
ЦЕНТРАЛЬНЫЙ ЗАМОК
ГУР
КОНДИЦИОНЕР(РАБОТАЕТ)
2 ПОДУШКИ БЕЗОПАСНОСТИ 
МУЗЫКА JVC
ДООСНОЩЕНИЕ ПРОТИВОТУМАННЫМИ ФАРАМИ(ОРИГИНАЛ)
ДООСНОЩЕНИЕ БРЫЗГОВИКАМИ 4ШТ(ОРИГИНАЛ)
СИГНАЛИЗАЦИЯ С АВТОЗАПУСКОМ

НИЗКИЕ ЦЕНЫ НА ЗАПЧАСТИ, РАСХОД БЕНЗИНА СМЕШНОЙ, УПРАВЛЯЙМОСТЬ НА ВЫСОТЕ, НИКОГДА НЕ ПОДВОДИЛА, ЗАПУСКАЕТСЯ В ЛЮБОЙ МОРОЗ!Т.О. КАЖДЫЕ 6 000 КМ, МАСЛО ДВИГАТЕЛЯ ЛИКВИ МОЛИ!

АРГУМЕНТИРОВАННЫЙ ТОРГ СТРОГО ПРИ ОСМОТРЕ АВТОМОБИЛЯ!!!
ПРОДАЕТСЯ, ПОКА В ПРОДАЖЕ ИНТЕРЕСУЮЩИЙ МЕНЯ АВТОМОБИЛЬ!",1.0,ь62,ника,передний,5 дв.,нжевый,03 000,345 000 
63,"Рестайлинг. В эксплуатации с августа 2017г. Предмаксимальная комплектация Comfort. Один хозяин. ПТС оригинал. 

Идеальное внешнее состояние. Гаражное хранение. Техническая часть как у нового автомобиля. Своевременное обслуживание у официального дилера. 

Родной пробег, подтверждённый сервисной книжкой. Есть все отметки о ТО. 
Кузов полностью в родной краске 100%
Ни один элемент не снимался. 
Стёкла все оригинал, без трещин. 
Салон в состоянии нового, без потертостей. 
Хорошая комплектация (громкая связь Bluetooth, мультируль, подогрев передних сидений, подогрев руля, датчик давления в шинах, антипробуксовка)

Сигнализация с А/З, Starline A93 с gsm-модулем 
Зимняя резина Gislaved, в отличном состоянии. Летней резины нет. 
VIN: Z94K241CBJR043033
Абсолютно любые проверки. Торг минимальный.",1.6,123,АКПП,передний,седан,тсерый,36 000,1 080 000 
64,"Продажа Suzuki Grand Vitara, 2011 год в Серове",2.4,166,АКПП,ривод4WD,3 дв.,ристый,65 000,1 050 000 
65,"Продажа Лада Гранта, 2020 год в Екатеринбурге",1.6,ь98,АКПП,передний,седан,тсиний,м3 000,750 000 
66,"Автомобиль куплен в феврале 2021 года, производство - декабрь 2020. Максимальная комплектация, один владелец - супруга, все ТО у дилера. На гарантии до февраля 2028 года. Капот, крылья, передний бампер и фары в пленке, кузов и салон покрыты керамикой, установлен противоугонный комплекс. Продается в связи с переездом. Обмена нет, автосалонам не беспокоить. Все заказ-наряды на руках. Было небольшое ДТП - по касательной шоркнули внешнюю часть заднего левого крыла, капсула и внутренняя часть крыла не пострадали,  ремонт по КАСКО у дилера, бьется по базам страховой компании. Могу скинуть фото.",3.5,249,АКПП,ривод4WD,ерный,39 000,ьлевый,5 050 000 
67,"КАК НОВАЯ МАШИНА ПРОБЕГ 36470 км ✅ Авто идеальном состоянии ✅ Окрасов нет
✅ ДТП нет ✅ Куплен 02.07.2019 ✅ Два хозяина Физ лица ✅ Вложений не требует  ✅ Оригинальный пробег  ✅ Комплектация Престиж Сафети  ✅ Из дополнительного 
✅ Цвет белый перламутр  ✅ Шумоизоляция  ✅ Лето резина  ✅ Зима резина новая  ✅ Сигнализация Старлайн с GSM ✅ Метка  ✅ Защита двигателя 
✅ Перед в пленке 
✅ Авто на гарантии  ✅ Покрыт керамикой GYEON ✅ Возможен обмен в обе стороны цена 2600.000 ✅ Кому надо могу снять Видео WhatsApp  ✅ Отправить отчёт фото прилагаю  ✅ Фото и вин оригинал  ✅ Готов на любые проверки  ✅ Звоните пишите буду рад ответить на все вопросы и показать автомобиль ✅ Возможна продажа через автосалон ! ✅ Уважаемые покупатели, для просмотра автомобиля, просьба связаться для уточнения его наличия и согласования времени Вашего визита! ✅ Никаких залогов, штрафов, ограничений на авто нет. Переоформим в любом МРЭО ГИБДД по Вашему выбору приветствуется. ✅ В ПОМОЩИ ПРОДАЖИ НЕ НУЖДАЮСЬ 
✅ Не имеющие такой суммы не беспокойте пожалуйста !!! ✅ VIN XW7BF3HK60S137763 ✅ Г/Н н785ут196",2.5,181,АКПП,передний,седан,тбелый,36 500,2 450 000 
68,"Продажа Tesla Model X, 2017 год в Вольно-Надеждинском",ект,525,омат,ривод4WD,белый,97 000,правый,11 300 000 
69,"Продажа Toyota Probox, 2017 год во Владивостоке",1.5,109,атор,передний,ерный, по РФ,правый,860 000 
70,"Продажа Mitsubishi Pajero iO, 2001 год в Краснодаре",2.0,136,АКПП,ривод4WD,5 дв.,тбелый, по РФ,720 000 
71,"Продажа Nissan Murano, 2009 год в Новосибирске",3.5,249,атор,ривод4WD,серый,21 347,ьлевый,840 000 
72,"Продажа Suzuki Grand Vitara, 2008 год в Новосибирске",2.0,140,АКПП,ривод4WD,5 дв.,ристый,65 000,1 019 000 
73,"Продажа BMW X5, 2012 год в Нижневартовске",3.0,306,АКПП,ривод4WD,ерный,97 000,ьлевый,1 950 000 
74,"Продажа Hyundai Solaris, 2016 год в Новосибирске",1.6,123,ника,передний,седан,ристый,64 861,800 000 
75,"Продажа Hyundai Solaris, 2018 год в Новосибирске",1.6,123,ника,передний,седан,тбелый,96 000,940 000 
76,"Продажа Suzuki SX4, 2012 год в Новосибирске",1.5,111,омат,передний,5 дв.,нжевый,75 000,950 000 
77,"Продажа Subaru Forester, 2005 год в Новосибирске",2.5,165,АКПП,ривод4WD,ерный,96 000,ьлевый,750 000 
78,"Продажа Toyota Mark II, 2003 год в Усть-Илимске",2.0,160,АКПП,одзадний,седан,тсерый,79 000,599 000 
79,"Продажа Hyundai Solaris, 2018 год в Новосибирске",1.6,123,ника,передний,седан,тбелый,96 000,940 000 
80,"Продажа Suzuki SX4, 2012 год в Новосибирске",1.5,111,омат,передний,5 дв.,нжевый,75 000,950 000 
81,"Продажа Subaru Forester, 2005 год в Новосибирске",2.5,165,АКПП,ривод4WD,ерный,96 000,ьлевый,750 000 
82,"Продажа Toyota Mark II, 2003 год в Усть-Илимске",2.0,160,АКПП,одзадний,седан,тсерый,79 000,599 000 
83,"Продажа Toyota Carina, 1990 год в Усть-Илимске",1.5,ь94,АКПП,передний,седан,тбелый,00 000,99 000 
84,"Продажа Лада Веста, 2016 год в Новосибирске",1.6,106,ника,передний,седан,черный,67 000,559 000 
85,"Продажа УАЗ Хантер, 2011 год в Новосибирске",2.7,112,ника,ривод4WD,леный,92 000,ьлевый,420 000 
86,"Продажа Suzuki Grand Vitara, 2010 год в Новосибирске",2.4,169,АКПП,ривод4WD,5 дв.,ежевый,88 500,1 050 000 
87,"Продажа Subaru Impreza XV, 2010 год в Кемерово",2.0,150,АКПП,ривод4WD,ерный,60 000,ьлевый,949 000 
88,"Продажа Peugeot 3008, 2012 год в Новосибирске",1.6,150,АКПП,передний,невый,50 115,ьлевый,820 000 
89,"Продажа Mazda CX-7, 2008 год в Новосибирске",2.3,238,АКПП,ривод4WD,асный,32 000,ьлевый,829 000 
90,"Продажа Hyundai Solaris, 2012 год в Кемерово",1.6,123,ника,передний,5 дв.,черный,23 000,600 000 
91,"Продажа Toyota Corolla, 2000 год в Новосибирске",1.8,136,АКПП,передний,седан,тсерый,69 492,530 000 
92,"Продажа Hyundai Solaris, 2013 год в Новосибирске",1.6,123,АКПП,передний,седан,черный,85 000,780 000 
93,"Продаю Амарок, можно сказать, в идеальном для своего возраста состоянии. Не замучаный, не отжатый, бережно эксплуатировался 1 единственным хозяином(пенсионером) в личных нуждах, последние года выезжал редко. Самая надёжная связка, одна турбина и механика, без технических проблем. Кузов без сколов, вмятин, царапин, не битый, на раме нет даже намёка на ржавчину. Стоит заводская Вебасто, установлены пороги и камера заднего вида. Кого заинтересовало моё предложение, приезжайте смотрите, второго такого найти будет трудно, кто ищет дешевле, не Ваш вариант, спасибо за понимание.",2.0,140,ника,ривод4WD,белый,07 000,ьлевый,1 799 000 
94,"Продажа Nissan Almera, 2016 год в Новосибирске",1.6,102,АКПП,передний,седан,ристый,22 238,735 000 
95,"Продажа Nissan Almera, 2018 год в Новосибирске",1.6,102,АКПП,передний,седан,тбелый,23 400,635 000 
96,"Продажа Suzuki SX4, 2010 год в Новосибирске",1.6,112,ника,передний,5 дв.,тсерый,85 625,899 000 
97,"Продажа Toyota Land Cruiser, 2013 год в Краснодаре",4.0,228,ника,ривод4WD,пикап,ежевый,94 300,4 300 000 
98,"Продажа Suzuki SX4, 2010 год в Новосибирске",1.6,112,ника,передний,5 дв.,тсерый,85 625,899 000 
99,"Продажа Toyota Land Cruiser, 2013 год в Краснодаре",4.0,228,ника,ривод4WD,пикап,ежевый,94 300,4 300 000 
100,"Продажа Лада 2107, 2009 год в Нальчике",1.6,ь74,ника,одзадний,белый,56 000,оление,95 000 
101,"Продажа Nissan Terrano, 2016 год в Магнитогорске",1.6,114,ника,передний,5 дв.,29 105,ьлевый,1 491 000 
102,"Продажа Chevrolet Lanos, 2007 год в Екатеринбурге",1.5,ь86,ника,передний,серый,62 000,оление,149 000 
103,"Продажа Лада 2109, 1992 год в Белогорске",1.5,ь73,ника,передний,белый,90 000,ьлевый,60 000 
104,"Продажа Mazda Axela, 2017 год во Владивостоке",1.5,105,АКПП,передний,5 дв.,тсиний, по РФ,1 350 000 
105,"Продажа Volkswagen Polo, 2021 год в Новосибирске",1.6,110,АКПП,передний,фтбек,черный,м5 900,2 130 000 
106,"Продажа Mazda CX-5, 2015 год в Тюмени",2.0,150,АКПП,ривод4WD,серый,93 000,ьлевый,2 100 000 
107,"Продажа Лада 2114 Самара, 2007 год в Салехарде",1.6,ь81,ника,передний,5 дв.,ристый,26 300,115 000 
108,"Продажа Лада Приора, 2014 год в Сургуте",1.6,ь98,ника,передний,ерсал,етовый,82 000,399 000 
109,"Продажа Kia Ceed, 2013 год в Екатеринбурге",1.4,100,ника,передний,5 дв.,черный,50 000,850 000 
110,"Продажа Nissan Wingroad, 2002 год в Барнауле",1.5,105,АКПП,передний,белый,20 465,правый,327 000 
111,"Продажа Лада 4x4 2121 Нива, 1990 год в Зиме",1.6,ь73,ника,ривод4WD,белый,00 000,ьлевый,150 000 
112,"Продажа Toyota Land Cruiser Prado, 2010 год в Улан-Удэ",4.0,282,АКПП,ривод4WD,5 дв.,тсерый,83 000,2 478 000 
113,"Продажа Kia Optima, 2017 год в Туле",2.0,150,АКПП,передний,седан,черный,42 000,1 900 000 
114,"Продажа Toyota Sprinter Marino, 1994 год в Новокузнецке",1.5,105,АКПП,передний,серый,00 000,правый,189 000 
115,"Продажа Toyota Opa, 2001 год в Барнауле",1.8,136,АКПП,передний,ерный,88 888,правый,380 000 
116,"Продажа Toyota Camry, 2007 год в Нягани",", Г",167,ника,передний,седан,ежевый,31 000,835 000 
117,"Продажа Toyota Prius, 2013 год во Владивостоке",ибр,ь99,атор,передний,фтбек, по РФ,правый,1 320 000 
118,"Продажа Toyota Camry, 2007 год в Нягани",", Г",167,ника,передний,седан,ежевый,31 000,835 000 
119,"Продажа Toyota Prius, 2013 год во Владивостоке",ибр,ь99,атор,передний,фтбек, по РФ,правый,1 320 000 
120,"Продажа Mazda Mazda3, 2005 год в Краснодаре",1.6,105,АКПП,передний,5 дв.,тсиний,30 000,480 000 
121,"Продажа Ford Focus, 2007 год в Тюмени",1.8,125,ника,передний,5 дв.,черный,05 000,430 000 
122,"Продажа Toyota Vista, 1992 год в Вольно-Надеждинском",2.0,140,ника,передний,белый,00 000,правый,170 000 
123,"Продажа Skoda Octavia, 2011 год в Екатеринбурге",1.4,122,обот,передний,фтбек,тсерый,84 000,670 000 
124,"Продажа Mazda Atenza, 2002 год в Новосибирске",2.3,178,АКПП,передний,седан,тсерый,92 000,360 000 
125,"Продажа Toyota Sprinter Marino, 1993 год в Чите",1.6,115,АКПП,передний,белый,22 222,правый,140 000 
126,Продаю ухоженный авто.Два комплекта резины.Спутниковая сигнализация.Без окраса.Салонам не беспокоить.Торг на месте.,2.4,180,АКПП,передний,седан,тбелый,15 000,1 350 000 
127,"Автомобиль в хорошем состоянии
4WD + блокировка
Кузов отлично сохранился! Гнили и ржавчины нет
Технически без нареканий
Стоит сигнализация Starline
Салон чистый и ухоженный
С документами плрядок, полная пошлина",2.0,129,АКПП,ривод4WD,белый,36 000,правый,455 000 
128,"Продажа Лада Приора, 2012 год в Ишиме",", Г",ь98,ника,передний,5 дв.,37 000,ьлевый,260 000 
129,"Продажа Nissan AD, 2002 год в Комсомольске-на-Амуре",2.2,ь79,ника,ривод4WD,белый,00 000,правый,190 000 
130,"Продажа Лада Калина, 2011 год в Ленинске-Кузнецком",1.6,ь80,ника,передний,5 дв.,ристый,05 000,230 000 
131,"Продажа Hyundai Elantra, 2011 год в Новосибирске",1.6,132,АКПП,передний,седан,ристый,22 000,780 000 
132,"Продажа Лада 2110, 2001 год в Белоярском",1.5,ь71,ника,передний,серый,50 000,оление,42 000 
133,"Продажа Toyota Harrier, 2016 год в Хабаровске",2.0,151,атор,передний,белый, по РФ,правый,2 500 000 
134,"Продажа Toyota Platz, 2000 год в Находке",1.0,ь70,АКПП,передний,истый,00 000,правый,230 000 
135,"Продажа Toyota Camry, 2021 год в Тюмени",3.5,249,АКПП,передний,седан,тбелый,10 000,6 000 000 
136,"Продажа Hyundai Sonata, 2018 год в Сургуте",2.0,150,АКПП,передний,ерный,74 000,ьлевый,1 750 000 
137,"Продажа Mazda Tribute, 2004 год в Саках",3.0,197,АКПП,ривод4WD,ерный,04 943,ьлевый,300 000 
138,"Продажа Hyundai Sonata, 2018 год в Сургуте",2.0,150,АКПП,передний,ерный,74 000,ьлевый,1 750 000 
139,"Продажа Mazda Tribute, 2004 год в Саках",3.0,197,АКПП,ривод4WD,ерный,04 943,ьлевый,300 000 
140,"Продажа Honda Ridgeline, 2007 год в Луге",3.5,247,АКПП,ривод4WD,серый,23 000,ьлевый,2 199 999 
141,"Продажа Kia Rio, 2020 год в Омске",1.6,123,АКПП,передний,седан,тсерый,25 000,1 630 000 
142,"Продажа Honda CR-V, 2011 год в Заринске",2.4,166,АКПП,ривод4WD,0 000,ьлевый,айлинг,1 345 000 
143,"Продажа Hyundai ix35, 2013 год в Стерлитамаке",2.0,150,АКПП,передний,лубой,30 000,ьлевый,1 230 000 
144,"Продажа Mazda Demio, 2017 год в Новосибирске",1.3,ь92,АКПП,ривод4WD,серый, по РФ,правый,1 170 000 
145,"Продажа Geely Atlas Pro, 2022 год в Барнауле",ибр,177,обот,ривод4WD,серый,мобиль,ьлевый,4 399 990 
146,"Продажа Mini Hatch, 2007 год в Краснодаре",1.6,174,АКПП,передний,3 дв.,черный,ьлевый,420 000 
147,"Продажа Honda Accord, 2006 год в Новосибирске",2.0,155,АКПП,передний,седан,черный,00 000,560 000 
148,"Продажа Volkswagen Tiguan, 2012 год в Берёзовском",2.0,170,АКПП,ривод4WD,белый,73 000,ьлевый,1 350 000 
149,"Продажа Лада 2106, 1993 год в Алдане",1.3,ь64,ника,одзадний,невый,33 376,ьлевый,180 000 
150,"Продажа Лада 4x4 Урбан, 2018 год в Кургане",1.7,ь83,ника,ривод4WD,3 дв.,еленый,26 000,675 000 
151,"Продажа Toyota Vista, 1998 год в Биробиджане",1.8,130,АКПП,передний,серый,99 999,правый,295 000 
152,"Продажа Toyota Celica, 2000 год в Белогорске",1.8,145,АКПП,передний,3 дв.,тсерый,71 000,650 000 
153,"Продажа Ford Explorer, 2012 год в Ханты-Мансийске",", Г",294,АКПП,ривод4WD,5 дв.,черный,90 000,1 900 000 
154,"Продажа Kia Optima, 2017 год в Красноярске",2.0,150,АКПП,передний,седан,ристый,50 000,1 550 000 
155,"Продажа Лада Веста Кросс, 2021 год в Сургуте",1.6,113,атор,передний,ерсал,чневый,13 800,1 359 990 
156,"Продажа Hyundai Solaris, 2020 год в Новосибирске",", Г",123,АКПП,передний,седан,тбелый,00 000,1 400 000 
157,"Продажа Лада Веста Кросс, 2021 год в Сургуте",1.6,113,атор,передний,ерсал,чневый,13 800,1 359 990 
158,"Продажа Hyundai Solaris, 2020 год в Новосибирске",", Г",123,АКПП,передний,седан,тбелый,00 000,1 400 000 
159,"Продажа Nissan Teana, 2006 год в Томске",2.3,173,АКПП,передний,ерный,64 000,ьлевый,700 000 
160,"Продажа Hyundai Creta, 2016 год в Краснодаре",1.6,123,АКПП,передний,серый,95 000,ьлевый,1 380 000 
161,"Продажа Daihatsu YRV, 2000 год в Асино",1.3,ь90,ника,передний,асный,93 400,правый,130 000 
162,"Продажа Mazda 323, 1999 год в Бердске",1.5,ь88,ника,передний,ерсал,еленый,05 355,130 000 
163,"Продажа Lifan X60, 2012 год в Екатеринбурге",1.8,128,ника,передний,истый,60 000,оление,535 000 
164,"Продажа ЛуАЗ ЛуАЗ, 1975 год в Бийске",1.2,ь40,ника,ривод4WD,леный,56 000,ьлевый,65 000 
