flight_id,flight_no,scheduled_departure,scheduled_arrival,departure_airport,arrival_airport,status,aircraft_code,actual_departure,actual_arrival,ticket_no,flight_id,fare_conditions,amount
136875,PG0480,2017-02-16T09:25:00Z,2017-02-16T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-16T09:29:00Z,2017-02-16T10:19:00Z,5432320432   ,136875,Business,18900.00
136781,PG0480,2017-01-14T09:25:00Z,2017-01-14T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-14T09:26:00Z,2017-01-14T10:16:00Z,5432318800   ,136781,Business,18900.00
136654,PG0480,2017-01-19T09:25:00Z,2017-01-19T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-19T09:28:00Z,2017-01-19T10:17:00Z,5432318991   ,136654,Business,18900.00
136907,PG0480,2017-01-16T09:25:00Z,2017-01-16T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-16T09:31:00Z,2017-01-16T10:22:00Z,5432318999   ,136907,Business,18900.00
136666,PG0480,2017-02-09T09:25:00Z,2017-02-09T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-09T09:26:00Z,2017-02-09T10:16:00Z,5432320117   ,136666,Business,18900.00
136861,PG0480,2017-02-12T09:25:00Z,2017-02-12T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-12T09:28:00Z,2017-02-12T10:17:00Z,5432320129   ,136861,Business,18900.00
136857,PG0480,2017-02-13T09:25:00Z,2017-02-13T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-13T09:31:00Z,2017-02-13T10:21:00Z,5432320331   ,136857,Business,18900.00
136605,PG0480,2017-02-15T09:25:00Z,2017-02-15T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-15T09:28:00Z,2017-02-15T10:19:00Z,5432320407   ,136605,Business,18900.00
136778,PG0480,2017-02-22T09:25:00Z,2017-02-22T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-22T09:26:00Z,2017-02-22T10:16:00Z,5432320803   ,136778,Business,18900.00
136586,PG0480,2017-01-10T09:25:00Z,2017-01-10T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-10T09:28:00Z,2017-01-10T10:18:00Z,5432374782   ,136586,Business,18900.00
136767,PG0480,2017-01-23T09:25:00Z,2017-01-23T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-23T09:27:00Z,2017-01-23T10:18:00Z,5432375331   ,136767,Business,18900.00
136661,PG0480,2017-01-01T09:25:00Z,2017-01-01T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-01T09:27:00Z,2017-01-01T10:17:00Z,5432318147   ,136661,Business,18900.00
136632,PG0480,2017-01-07T09:25:00Z,2017-01-07T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-07T12:42:00Z,2017-01-07T13:33:00Z,5432318673   ,136632,Business,18900.00
136855,PG0480,2017-01-11T09:25:00Z,2017-01-11T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-11T12:07:00Z,2017-01-11T12:57:00Z,5432318906   ,136855,Business,18900.00
136755,PG0480,2017-01-21T09:25:00Z,2017-01-21T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-21T09:30:00Z,2017-01-21T10:20:00Z,5432319023   ,136755,Business,18900.00
136669,PG0480,2017-01-17T09:25:00Z,2017-01-17T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-17T09:26:00Z,2017-01-17T10:17:00Z,5432319117   ,136669,Business,18900.00
136927,PG0480,2017-01-22T09:25:00Z,2017-01-22T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-22T09:28:00Z,2017-01-22T10:19:00Z,5432319270   ,136927,Business,18900.00
136720,PG0480,2017-01-26T09:25:00Z,2017-01-26T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-26T09:29:00Z,2017-01-26T10:19:00Z,5432319399   ,136720,Business,18900.00
136951,PG0480,2017-02-02T09:25:00Z,2017-02-02T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-02T09:28:00Z,2017-02-02T10:17:00Z,5432319594   ,136951,Business,18900.00
136827,PG0480,2017-02-18T09:25:00Z,2017-02-18T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-18T09:26:00Z,2017-02-18T10:17:00Z,5432320610   ,136827,Business,18900.00
136612,PG0480,2017-02-21T09:25:00Z,2017-02-21T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-21T09:27:00Z,2017-02-21T10:17:00Z,5432320631   ,136612,Business,18900.00
136660,PG0480,2017-02-20T09:25:00Z,2017-02-20T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-20T09:26:00Z,2017-02-20T10:15:00Z,5432320635   ,136660,Business,18900.00
136807,PG0480,2017-02-23T09:25:00Z,2017-02-23T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-23T09:28:00Z,2017-02-23T10:18:00Z,5432376431   ,136807,Business,18900.00
136953,PG0480,2017-02-27T09:25:00Z,2017-02-27T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-27T09:27:00Z,2017-02-27T10:17:00Z,5432376538   ,136953,Business,18900.00
136936,PG0480,2017-01-02T09:25:00Z,2017-01-02T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-02T09:28:00Z,2017-01-02T10:18:00Z,5432374167   ,136936,Business,18900.00
136706,PG0480,2017-01-06T09:25:00Z,2017-01-06T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-06T09:30:00Z,2017-01-06T10:20:00Z,5432374420   ,136706,Business,18900.00
136871,PG0480,2017-01-13T09:25:00Z,2017-01-13T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-13T09:28:00Z,2017-01-13T10:18:00Z,5432374809   ,136871,Business,18900.00
136609,PG0480,2017-01-08T09:25:00Z,2017-01-08T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-08T09:28:00Z,2017-01-08T10:18:00Z,5432374698   ,136609,Business,18900.00
136733,PG0480,2017-01-09T09:25:00Z,2017-01-09T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-09T09:27:00Z,2017-01-09T10:18:00Z,5432374744   ,136733,Business,18900.00
136672,PG0480,2017-02-03T09:25:00Z,2017-02-03T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-03T09:28:00Z,2017-02-03T10:18:00Z,5432375493   ,136672,Business,18900.00
136869,PG0480,2017-01-31T09:25:00Z,2017-01-31T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-31T09:26:00Z,2017-01-31T10:16:00Z,5432375494   ,136869,Business,18900.00
136900,PG0480,2017-02-01T09:25:00Z,2017-02-01T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-01T09:30:00Z,2017-02-01T10:21:00Z,5432319798   ,136900,Business,18900.00
136600,PG0480,2017-02-08T09:25:00Z,2017-02-08T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-08T09:26:00Z,2017-02-08T10:16:00Z,5432319910   ,136600,Business,18900.00
136754,PG0480,2017-02-06T09:25:00Z,2017-02-06T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-06T09:29:00Z,2017-02-06T10:18:00Z,5432320003   ,136754,Business,18900.00
136620,PG0480,2017-02-17T09:25:00Z,2017-02-17T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-17T09:30:00Z,2017-02-17T10:19:00Z,5432376110   ,136620,Business,18900.00
136888,PG0480,2017-02-14T09:25:00Z,2017-02-14T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-14T09:29:00Z,2017-02-14T10:19:00Z,5432320222   ,136888,Business,18900.00
136769,PG0480,2017-02-10T09:25:00Z,2017-02-10T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-10T09:30:00Z,2017-02-10T10:21:00Z,5432053781   ,136769,Business,18900.00
136802,PG0480,2017-02-26T09:25:00Z,2017-02-26T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-26T09:32:00Z,2017-02-26T10:22:00Z,5432376459   ,136802,Business,18900.00
136661,PG0480,2017-01-01T09:25:00Z,2017-01-01T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-01T09:27:00Z,2017-01-01T10:17:00Z,5432318269   ,136661,Business,18900.00
136936,PG0480,2017-01-02T09:25:00Z,2017-01-02T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-02T09:28:00Z,2017-01-02T10:18:00Z,5432318297   ,136936,Business,18900.00
136645,PG0480,2017-01-05T09:25:00Z,2017-01-05T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-05T09:29:00Z,2017-01-05T10:20:00Z,5432318508   ,136645,Business,18900.00
136632,PG0480,2017-01-07T09:25:00Z,2017-01-07T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-07T12:42:00Z,2017-01-07T13:33:00Z,5432318561   ,136632,Business,18900.00
136709,PG0480,2017-01-15T09:25:00Z,2017-01-15T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-15T09:28:00Z,2017-01-15T10:18:00Z,5432318923   ,136709,Business,18900.00
136927,PG0480,2017-01-22T09:25:00Z,2017-01-22T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-22T09:28:00Z,2017-01-22T10:19:00Z,5432319231   ,136927,Business,18900.00
136838,PG0480,2017-01-24T09:25:00Z,2017-01-24T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-24T09:30:00Z,2017-01-24T10:21:00Z,5432319267   ,136838,Business,18900.00
136900,PG0480,2017-02-01T09:25:00Z,2017-02-01T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-01T09:30:00Z,2017-02-01T10:21:00Z,5432319725   ,136900,Business,18900.00
136672,PG0480,2017-02-03T09:25:00Z,2017-02-03T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-03T09:28:00Z,2017-02-03T10:18:00Z,5432319781   ,136672,Business,18900.00
136956,PG0480,2017-02-04T09:25:00Z,2017-02-04T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-04T09:33:00Z,2017-02-04T10:23:00Z,5432320098   ,136956,Business,18900.00
136630,PG0480,2017-02-25T09:25:00Z,2017-02-25T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-25T09:32:00Z,2017-02-25T10:22:00Z,5432320667   ,136630,Business,18900.00
136706,PG0480,2017-01-06T09:25:00Z,2017-01-06T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-06T09:30:00Z,2017-01-06T10:20:00Z,5432374450   ,136706,Business,18900.00
136907,PG0480,2017-01-16T09:25:00Z,2017-01-16T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-16T09:31:00Z,2017-01-16T10:22:00Z,5432374955   ,136907,Business,18900.00
136609,PG0480,2017-01-08T09:25:00Z,2017-01-08T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-08T09:28:00Z,2017-01-08T10:18:00Z,5432374657   ,136609,Business,18900.00
136654,PG0480,2017-01-19T09:25:00Z,2017-01-19T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-19T09:28:00Z,2017-01-19T10:17:00Z,5432374999   ,136654,Business,18900.00
136937,PG0480,2017-01-03T09:25:00Z,2017-01-03T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-03T09:29:00Z,2017-01-03T10:19:00Z,5432318180   ,136937,Business,18900.00
136733,PG0480,2017-01-09T09:25:00Z,2017-01-09T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-09T09:27:00Z,2017-01-09T10:18:00Z,5432318687   ,136733,Business,18900.00
136669,PG0480,2017-01-17T09:25:00Z,2017-01-17T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-17T09:26:00Z,2017-01-17T10:17:00Z,5432318893   ,136669,Business,18900.00
136769,PG0480,2017-02-10T09:25:00Z,2017-02-10T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-10T09:30:00Z,2017-02-10T10:21:00Z,5432320067   ,136769,Business,18900.00
136754,PG0480,2017-02-06T09:25:00Z,2017-02-06T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-06T09:29:00Z,2017-02-06T10:18:00Z,5432320080   ,136754,Business,18900.00
136875,PG0480,2017-02-16T09:25:00Z,2017-02-16T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-16T09:29:00Z,2017-02-16T10:19:00Z,5432376141   ,136875,Business,18900.00
136922,PG0480,2017-02-11T09:25:00Z,2017-02-11T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-11T09:27:00Z,2017-02-11T10:17:00Z,5432375813   ,136922,Business,18900.00
136586,PG0480,2017-01-10T09:25:00Z,2017-01-10T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-10T09:28:00Z,2017-01-10T10:18:00Z,5432318588   ,136586,Business,18900.00
136861,PG0480,2017-02-12T09:25:00Z,2017-02-12T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-12T09:28:00Z,2017-02-12T10:17:00Z,5432375900   ,136861,Business,18900.00
136660,PG0480,2017-02-20T09:25:00Z,2017-02-20T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-20T09:26:00Z,2017-02-20T10:15:00Z,5432376315   ,136660,Business,18900.00
136720,PG0480,2017-01-26T09:25:00Z,2017-01-26T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-26T09:29:00Z,2017-01-26T10:19:00Z,5432319439   ,136720,Business,18900.00
136869,PG0480,2017-01-31T09:25:00Z,2017-01-31T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-31T09:26:00Z,2017-01-31T10:16:00Z,5432319563   ,136869,Business,18900.00
136729,PG0480,2017-01-29T09:25:00Z,2017-01-29T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-29T09:29:00Z,2017-01-29T10:19:00Z,5432319653   ,136729,Business,18900.00
136841,PG0480,2017-02-07T09:25:00Z,2017-02-07T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-07T09:25:00Z,2017-02-07T10:16:00Z,5432320076   ,136841,Business,18900.00
136857,PG0480,2017-02-13T09:25:00Z,2017-02-13T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-13T09:31:00Z,2017-02-13T10:21:00Z,5432320241   ,136857,Business,18900.00
136827,PG0480,2017-02-18T09:25:00Z,2017-02-18T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-18T09:26:00Z,2017-02-18T10:17:00Z,5432320508   ,136827,Business,18900.00
136605,PG0480,2017-02-15T09:25:00Z,2017-02-15T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-15T09:28:00Z,2017-02-15T10:19:00Z,5432320544   ,136605,Business,18900.00
136780,PG0480,2017-02-24T09:25:00Z,2017-02-24T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-24T09:30:00Z,2017-02-24T10:20:00Z,5432320665   ,136780,Business,18900.00
136953,PG0480,2017-02-27T09:25:00Z,2017-02-27T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-27T09:27:00Z,2017-02-27T10:17:00Z,5432321087   ,136953,Business,18900.00
136815,PG0480,2017-02-19T09:25:00Z,2017-02-19T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-19T09:26:00Z,2017-02-19T10:17:00Z,5432376306   ,136815,Business,18900.00
136807,PG0480,2017-02-23T09:25:00Z,2017-02-23T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-23T09:28:00Z,2017-02-23T10:18:00Z,5432376566   ,136807,Business,18900.00
136844,PG0480,2017-02-28T09:25:00Z,2017-02-28T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-28T09:26:00Z,2017-02-28T10:16:00Z,5432376682   ,136844,Business,18900.00
136781,PG0480,2017-01-14T09:25:00Z,2017-01-14T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-14T09:26:00Z,2017-01-14T10:16:00Z,5432374882   ,136781,Business,18900.00
136887,PG0480,2017-01-20T09:25:00Z,2017-01-20T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-20T09:30:00Z,2017-01-20T10:19:00Z,5432375014   ,136887,Business,18900.00
136571,PG0480,2017-01-25T09:25:00Z,2017-01-25T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-25T09:28:00Z,2017-01-25T10:18:00Z,5432375348   ,136571,Business,18900.00
136678,PG0480,2017-01-28T09:25:00Z,2017-01-28T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-28T09:27:00Z,2017-01-28T10:17:00Z,5432375443   ,136678,Business,18900.00
136600,PG0480,2017-02-08T09:25:00Z,2017-02-08T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-08T09:26:00Z,2017-02-08T10:16:00Z,5432375763   ,136600,Business,18900.00
136951,PG0480,2017-02-02T09:25:00Z,2017-02-02T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-02T09:28:00Z,2017-02-02T10:17:00Z,5432375690   ,136951,Business,18900.00
136778,PG0480,2017-02-22T09:25:00Z,2017-02-22T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-22T09:26:00Z,2017-02-22T10:16:00Z,5432376345   ,136778,Business,18900.00
136612,PG0480,2017-02-21T09:25:00Z,2017-02-21T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-21T09:27:00Z,2017-02-21T10:17:00Z,5432376403   ,136612,Business,18900.00
136758,PG0480,2017-01-12T09:25:00Z,2017-01-12T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-12T09:26:00Z,2017-01-12T10:15:00Z,5432374691   ,136758,Business,18900.00
136649,PG0480,2017-01-18T09:25:00Z,2017-01-18T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-18T09:25:00Z,2017-01-18T10:15:00Z,5432375175   ,136649,Business,18900.00
136642,PG0480,2017-01-30T09:25:00Z,2017-01-30T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-30T09:28:00Z,2017-01-30T10:17:00Z,5432375388   ,136642,Business,18900.00
136757,PG0480,2017-01-27T09:25:00Z,2017-01-27T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-27T09:30:00Z,2017-01-27T10:19:00Z,5432375345   ,136757,Business,18900.00
136855,PG0480,2017-01-11T09:25:00Z,2017-01-11T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-11T12:07:00Z,2017-01-11T12:57:00Z,5432318318   ,136855,Business,18900.00
136819,PG0480,2017-01-04T09:25:00Z,2017-01-04T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-04T09:29:00Z,2017-01-04T10:19:00Z,5432318360   ,136819,Business,18900.00
136871,PG0480,2017-01-13T09:25:00Z,2017-01-13T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-13T09:28:00Z,2017-01-13T10:18:00Z,5432318503   ,136871,Business,18900.00
136755,PG0480,2017-01-21T09:25:00Z,2017-01-21T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-21T09:30:00Z,2017-01-21T10:20:00Z,5432319282   ,136755,Business,18900.00
136802,PG0480,2017-02-26T09:25:00Z,2017-02-26T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-26T09:32:00Z,2017-02-26T10:22:00Z,5432321051   ,136802,Business,18900.00
136669,PG0480,2017-01-17T09:25:00Z,2017-01-17T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-17T09:26:00Z,2017-01-17T10:17:00Z,5432319006   ,136669,Business,18900.00
136907,PG0480,2017-01-16T09:25:00Z,2017-01-16T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-16T09:31:00Z,2017-01-16T10:22:00Z,5432319135   ,136907,Business,18900.00
136666,PG0480,2017-02-09T09:25:00Z,2017-02-09T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-09T09:26:00Z,2017-02-09T10:16:00Z,5432319990   ,136666,Business,18900.00
136620,PG0480,2017-02-17T09:25:00Z,2017-02-17T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-17T09:30:00Z,2017-02-17T10:19:00Z,5432320646   ,136620,Business,18900.00
136819,PG0480,2017-01-04T09:25:00Z,2017-01-04T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-04T09:29:00Z,2017-01-04T10:19:00Z,5432374170   ,136819,Business,18900.00
136871,PG0480,2017-01-13T09:25:00Z,2017-01-13T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-13T09:28:00Z,2017-01-13T10:18:00Z,5432374805   ,136871,Business,18900.00
136838,PG0480,2017-01-24T09:25:00Z,2017-01-24T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-24T09:30:00Z,2017-01-24T10:21:00Z,5432375288   ,136838,Business,18900.00
136823,PG0480,2017-02-05T09:25:00Z,2017-02-05T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-05T09:27:00Z,2017-02-05T10:18:00Z,5432375649   ,136823,Business,18900.00
136769,PG0480,2017-02-10T09:25:00Z,2017-02-10T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-10T09:30:00Z,2017-02-10T10:21:00Z,5432375933   ,136769,Business,18900.00
136922,PG0480,2017-02-11T09:25:00Z,2017-02-11T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-11T09:27:00Z,2017-02-11T10:17:00Z,5432376006   ,136922,Business,18900.00
136605,PG0480,2017-02-15T09:25:00Z,2017-02-15T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-15T09:28:00Z,2017-02-15T10:19:00Z,5432053796   ,136605,Business,18900.00
136827,PG0480,2017-02-18T09:25:00Z,2017-02-18T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-18T09:26:00Z,2017-02-18T10:17:00Z,5432376160   ,136827,Business,18900.00
136778,PG0480,2017-02-22T09:25:00Z,2017-02-22T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-22T09:26:00Z,2017-02-22T10:16:00Z,5432376404   ,136778,Business,18900.00
136678,PG0480,2017-01-28T09:25:00Z,2017-01-28T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-28T09:27:00Z,2017-01-28T10:17:00Z,5432375460   ,136678,Business,18900.00
136758,PG0480,2017-01-12T09:25:00Z,2017-01-12T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-12T09:26:00Z,2017-01-12T10:15:00Z,5432374712   ,136758,Business,18900.00
136729,PG0480,2017-01-29T09:25:00Z,2017-01-29T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-29T09:29:00Z,2017-01-29T10:19:00Z,5432375478   ,136729,Business,18900.00
136757,PG0480,2017-01-27T09:25:00Z,2017-01-27T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-27T09:30:00Z,2017-01-27T10:19:00Z,5432375472   ,136757,Business,18900.00
136951,PG0480,2017-02-02T09:25:00Z,2017-02-02T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-02T09:28:00Z,2017-02-02T10:17:00Z,5432375582   ,136951,Business,18900.00
136661,PG0480,2017-01-01T09:25:00Z,2017-01-01T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-01T09:27:00Z,2017-01-01T10:17:00Z,5432318182   ,136661,Business,18900.00
136937,PG0480,2017-01-03T09:25:00Z,2017-01-03T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-03T09:29:00Z,2017-01-03T10:19:00Z,5432318559   ,136937,Business,18900.00
136586,PG0480,2017-01-10T09:25:00Z,2017-01-10T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-10T09:28:00Z,2017-01-10T10:18:00Z,5432318725   ,136586,Business,18900.00
136767,PG0480,2017-01-23T09:25:00Z,2017-01-23T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-23T09:27:00Z,2017-01-23T10:18:00Z,5432319156   ,136767,Business,18900.00
136672,PG0480,2017-02-03T09:25:00Z,2017-02-03T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-02-03T09:28:00Z,2017-02-03T10:18:00Z,5432319732   ,136672,Business,18900.00
136869,PG0480,2017-01-31T09:25:00Z,2017-01-31T10:15:00Z,AAQ,EGO,Arrived,SU9,2017-01-31T09:26:00Z,2017-01-31T10:16:00Z,5432319791   ,136869,Business,18900.00
